DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
GM201900000001,GMGE81FL,GM,2019.0,1.0,GM2019DHS,39436.41015625,46347.77734375,54503.71875,90.17500305175781,98.86666870117188,101.74166870117188,90.70833587646484,19.497297286987305,20.814035415649414,21.270034790039062,19.75499153137207,0.5114673972129822,0.5726875066757202,0.6048818230628967,-9999,-9999,-9999,-9999,12.033333778381348,12.925000190734863,12.816666603088379,12.324999809265137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,60.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.687917709350586,36.32133102416992,-1.0,13.714676856994629,0.0,25.898365020751953,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.483333587646484,33.63333511352539,33.70000076293945,32.91666793823242,26.433334350585938,27.149999618530273,27.266666412353516,26.725000381469727,20.450000762939453,20.70833396911621,20.883333206176758,20.59166717529297,14.552101135253906,-9999,-9999,-9999,-9999,4.625,4.75,4.7833333015441895,4.5916666984558105,905.150390625,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0,2.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.666666666666664,5.0,1048.8494873046875,1229.52001953125,1444.99755859375,1699.2777099609375,27405.30078125,24675.90234375,22572.44921875,20968.494140625,10123.2568359375,9004.5791015625,8125.849609375,7440.4189453125,6.602499961853027,10.110833168029785,8.650833129882812,6.714166641235352
GM201900000002,GMGE81FL,GM,2019.0,2.0,GM2019DHS,42283.4765625,49693.8046875,58438.55078125,90.17500305175781,98.86666870117188,101.74166870117188,90.70833587646484,19.497297286987305,20.814035415649414,21.270034790039062,19.75499153137207,0.35071301460266113,0.3882542550563812,0.41547250747680664,-9999,-9999,-9999,-9999,12.033333778381348,12.925000190734863,12.816666603088379,12.324999809265137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,60.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.565216541290283,37.87138366699219,-1.0,14.247730255126953,0.0,26.482440948486328,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.483333587646484,33.63333511352539,33.70000076293945,32.91666793823242,26.433334350585938,27.149999618530273,27.266666412353516,26.725000381469727,20.450000762939453,20.70833396911621,20.883333206176758,20.59166717529297,14.104131698608398,-9999,-9999,-9999,-9999,4.625,4.75,4.7833333015441895,4.5916666984558105,905.150390625,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3390469253063202,2.0,2.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.0,5.0,708.1546630859375,830.1385498046875,975.6232299804688,1147.3062744140625,27405.302734375,24675.900390625,22572.44921875,20968.49609375,8098.6046875,7203.66328125,6500.679296875,5952.33515625,6.602499961853027,10.110833168029785,8.650833129882812,6.714166641235352
GM201900000003,GMGE81FL,GM,2019.0,3.0,GM2019DHS,39436.41015625,46347.77734375,54503.71875,90.17500305175781,98.86666870117188,101.74166870117188,90.70833587646484,19.497297286987305,20.814035415649414,21.270034790039062,19.75499153137207,0.46761735280354816,0.5176723798116049,0.55306609471639,-9999,-9999,-9999,-9999,12.033333778381348,12.925000190734863,12.816666603088379,12.324999809265137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,60.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.687917709350586,36.32133102416992,-1.0,13.714676856994629,0.0,25.898365020751953,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.483333587646484,33.63333511352539,33.70000076293945,32.91666793823242,26.433334350585938,27.149999618530273,27.266666412353516,26.725000381469727,20.450000762939453,20.70833396911621,20.883333206176758,20.59166717529297,13.583567899816176,-9999,-9999,-9999,-9999,4.625,4.75,4.7833333015441895,4.5916666984558105,905.150390625,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0,2.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.666666666666664,5.0,862.6705729166666,1011.2706705729166,1188.4993489583333,1397.6427408854167,27405.302734375,24675.900390625,22572.44921875,20968.494140625,10123.255859375,9004.5791015625,8125.849609375,7440.41845703125,6.602499961853027,10.110833168029785,8.650833129882812,6.714166641235352
GM201900000004,GMGE81FL,GM,2019.0,4.0,GM2019DHS,42283.4765625,49693.8046875,58438.55078125,90.17500305175781,98.86666870117188,101.74166870117188,90.70833587646484,19.497297286987305,20.814035415649414,21.270034790039062,19.75499153137207,0.35071301460266113,0.3882542848587036,0.41547250747680664,-9999,-9999,-9999,-9999,12.033333778381348,12.925000190734863,12.816666603088379,12.324999809265137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,60.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.565216541290283,37.87138366699219,-1.0,14.247730255126953,0.0,26.482440948486328,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.483333587646484,33.63333511352539,33.70000076293945,32.91666793823242,26.433334350585938,27.149999618530273,27.266666412353516,26.725000381469727,20.450000762939453,20.70833396911621,20.883333206176758,20.59166717529297,14.104131698608398,-9999,-9999,-9999,-9999,4.625,4.75,4.7833333015441895,4.5916666984558105,905.150390625,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3390469253063202,2.0,2.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.0,5.0,708.1547241210938,830.1385498046875,975.6231689453125,1147.3062744140625,27405.302734375,24675.900390625,22572.44921875,20968.49609375,8098.6046875,7203.66328125,6500.679296875,5952.33515625,6.602499961853027,10.110833168029785,8.650833129882812,6.714166641235352
GM201900000005,GMGE81FL,GM,2019.0,5.0,GM2019DHS,39436.41015625,46347.77734375,54503.71875,90.17500305175781,98.86666870117188,101.74166870117188,90.70833587646484,19.497297286987305,20.814035415649414,21.270034790039062,19.75499153137207,0.5114673972129822,0.5726875066757202,0.6048818230628967,-9999,-9999,-9999,-9999,12.033333778381348,12.925000190734863,12.816666603088379,12.324999809265137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,60.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.687917709350586,36.32133102416992,-1.0,13.714676856994629,0.0,25.898365020751953,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.483333587646484,33.63333511352539,33.70000076293945,32.91666793823242,26.433334350585938,27.149999618530273,27.266666412353516,26.725000381469727,20.450000762939453,20.70833396911621,20.883333206176758,20.59166717529297,14.323660043569712,-9999,-9999,-9999,-9999,4.625,4.75,4.7833333015441895,4.5916666984558105,905.150390625,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0,2.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.666666666666664,5.0,1048.8494873046875,1229.52001953125,1444.99755859375,1699.2777099609375,27405.30078125,24675.90234375,22572.44921875,20968.494140625,10123.2568359375,9004.5791015625,8125.849609375,7440.4189453125,6.602499961853027,10.110833168029785,8.650833129882812,6.714166641235352
GM201900000006,GMGE81FL,GM,2019.0,6.0,GM2019DHS,39436.41015625,46347.77734375,54503.71875,90.17500305175781,98.86666870117188,101.74166870117188,90.70833587646484,19.497297286987305,20.814035415649414,21.270034790039062,19.75499153137207,0.35071301460266113,0.3882542848587036,0.41547250747680664,-9999,-9999,-9999,-9999,12.033333778381348,12.925000190734863,12.816666603088379,12.324999809265137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,60.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.565216541290283,37.87138366699219,-1.0,14.247730255126953,0.0,26.482440948486328,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.483333587646484,33.63333511352539,33.70000076293945,32.91666793823242,26.433334350585938,27.149999618530273,27.266666412353516,26.725000381469727,20.450000762939453,20.70833396911621,20.883333206176758,20.59166717529297,14.104131698608398,-9999,-9999,-9999,-9999,4.625,4.75,4.7833333015441895,4.5916666984558105,905.150390625,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3390469253063202,2.0,2.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.0,5.0,862.6705729166666,1011.2706705729166,1188.4993489583333,1397.6427408854167,27405.302734375,24675.900390625,22572.44921875,20968.49609375,8098.6046875,7203.66328125,6500.679296875,5952.33515625,6.602499961853027,10.110833168029785,8.650833129882812,6.714166641235352
GM201900000007,GMGE81FL,GM,2019.0,7.0,GM2019DHS,42283.4765625,49693.8046875,58438.55078125,90.17500305175781,98.86666870117188,101.74166870117188,90.70833587646484,19.497297286987305,20.814035415649414,21.270034790039062,19.75499153137207,0.35071301460266113,0.3882542550563812,0.41547250747680664,-9999,-9999,-9999,-9999,12.033333778381348,12.925000190734863,12.816666603088379,12.324999809265137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,60.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.565216541290283,37.87138366699219,-1.0,14.247730255126953,0.0,26.482440948486328,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.483333587646484,33.63333511352539,33.70000076293945,32.91666793823242,26.433334350585938,27.149999618530273,27.266666412353516,26.725000381469727,20.450000762939453,20.70833396911621,20.883333206176758,20.59166717529297,13.332138959099264,-9999,-9999,-9999,-9999,4.625,4.75,4.7833333015441895,4.5916666984558105,905.150390625,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3390469253063202,2.0,2.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.0,5.0,708.1546630859375,830.1385498046875,975.6232299804688,1147.3062744140625,27405.302734375,24675.900390625,22572.44921875,20968.49609375,8098.6046875,7203.66328125,6500.679296875,5952.33515625,6.602499961853027,10.110833168029785,8.650833129882812,6.714166641235352
GM201900000008,GMGE81FL,GM,2019.0,8.0,GM2019DHS,33729.49609375,39640.70703125,46616.38671875,90.17500305175781,98.86666870117188,101.74166870117188,90.70833587646484,19.497297286987305,20.814035415649414,21.270034790039062,19.75499153137207,0.5114673972129822,0.5726875066757202,0.6048818230628967,-9999,-9999,-9999,-9999,12.033333778381348,12.925000190734863,12.816666603088379,12.324999809265137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,60.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.687917709350586,36.32133102416992,-1.0,13.714676856994629,0.0,25.898365020751953,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.483333587646484,33.63333511352539,33.70000076293945,32.91666793823242,26.433334350585938,27.149999618530273,27.266666412353516,26.725000381469727,20.450000762939453,20.70833396911621,20.883333206176758,20.59166717529297,16.31142578125,-9999,-9999,-9999,-9999,4.625,4.75,4.7833333015441895,4.5916666984558105,905.14990234375,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0,2.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,46.5,5.0,1048.8494873046875,1229.52001953125,1444.99755859375,1699.2777099609375,23184.482421875,21247.537109375,19813.10546875,18773.74609375,10751.73046875,9775.710286458334,9039.315755208334,8492.717447916666,6.602499961853027,10.110833168029785,8.650833129882812,6.714166641235352
GM201900000009,GMGE81FL,GM,2019.0,9.0,GM2019DHS,33729.49609375,39640.70703125,46616.38671875,90.17500305175781,98.86666870117188,101.74166870117188,90.70833587646484,19.497297286987305,20.814035415649414,21.270034790039062,19.75499153137207,0.5114673972129822,0.5726875066757202,0.6048818230628967,-9999,-9999,-9999,-9999,12.033333778381348,12.925000190734863,12.816666603088379,12.324999809265137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,60.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.687917709350586,36.32133102416992,-1.0,13.714676856994629,0.0,25.898365020751953,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.483333587646484,33.63333511352539,33.70000076293945,32.91666793823242,26.433334350585938,27.149999618530273,27.266666412353516,26.725000381469727,20.450000762939453,20.70833396911621,20.883333206176758,20.59166717529297,15.353912353515625,-9999,-9999,-9999,-9999,4.625,4.75,4.7833333015441895,4.5916666984558105,905.14990234375,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0,2.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,46.5,5.0,1048.8494873046875,1229.52001953125,1444.99755859375,1699.2777099609375,23184.482421875,21247.537109375,19813.103515625,18773.74609375,10751.731119791666,9775.710286458334,9039.315104166666,8492.718098958334,6.602499961853027,10.110833168029785,8.650833129882812,6.714166641235352
GM201900000010,GMGE81FL,GM,2019.0,10.0,GM2019DHS,39436.41015625,46347.77734375,54503.71875,90.17500305175781,98.86666870117188,101.74166870117188,90.70833587646484,19.497297286987305,20.814035415649414,21.270034790039062,19.75499153137207,0.46761735280354816,0.5176723798116049,0.55306609471639,-9999,-9999,-9999,-9999,12.033333778381348,12.925000190734863,12.816666603088379,12.324999809265137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,60.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.687917709350586,36.32133102416992,-1.0,13.714676856994629,0.0,25.898365020751953,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.483333587646484,33.63333511352539,33.70000076293945,32.91666793823242,26.433334350585938,27.149999618530273,27.266666412353516,26.725000381469727,20.450000762939453,20.70833396911621,20.883333206176758,20.59166717529297,15.586850847516741,-9999,-9999,-9999,-9999,4.625,4.75,4.7833333015441895,4.5916666984558105,905.150390625,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0,2.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.666666666666664,5.0,862.6705729166666,1011.2706705729166,1188.4993489583333,1397.6427408854167,27405.302734375,24675.900390625,22572.44921875,20968.49609375,10123.2568359375,9004.5791015625,8125.84912109375,7440.41845703125,6.602499961853027,10.110833168029785,8.650833129882812,6.714166641235352
